question,answer,null
"What does it truly mean if people say: ""computers work on 0's and 1's""?",Computers work on 0's and 1's because they are the only two values that can be represented by a single bit. This is the basic unit of information that a computer can process.,
The Difference Between a Framework and a Library,A framework provides the blueprint and the basic framework; it also shows what is still needed from the programmer in terms of customisation. The framework provides the flow of a software application and tells the developer what it needs and calls the code provided by the developer as required. If a library is used; the application calls the code from the library. A framework inverts the control of the program. It tells the developer what they need. A library doesn’t. The programmer calls the library where and when they need it,
What is the difference between a compiler and an interpreter?,A compiler is a program that translates source code into machine code. An interpreter is a program that translates source code into machine code line by line,
What type of programming languages exist? Why are some called high- and others low-level programming languages?,Java; Python; PHP; C; C# and C++ are examples of programming languages. High-level languages are designed to be easy for humans to write and understand; but they are slower to execute. Conversely; low-level languages are harder for humans to write and understand; but they are faster to execute. Python and C# are examples of high-level languages that are widely used in education and in the workplace because they are user-oriented and make it easy for programmers to convert algorithms into program code. Low-level languages; such as assembly language and machine code; are machine-oriented and are expressed in terms of the machine operations that must be performed to carry out a task. This makes writing programs more difficult as the algorithm must be specified in terms of the capabilities and specifications of the processor. Low-level languages are named for the processor or processor family they are designed for.,
What is the difference between assembly code and machine code? What is disassembly in this context?,Machine code is a computer program written in machine language instructions that can be executed directly by a computer's central processing unit (CPU). Assembly language is a low-level programming language that is more advanced than machine code but less advanced than high-level languages. It uses acronyms; symbols; and numbers instead of binary digits (1s and 0s) and it is more human-readable than machine code. The difference between machine code and assembly language is that machine code is only understandable by computers whereas assembly language can be understood; used; and applied by humans. Disassembly is the process of converting machine code into assembly language; it is the reverse process of assembly and it is used to understand and analyze the underlying machine code of a program or to recreate the source code.,
What is a PCB (Printed Circuit Board) (in a hardware context) and how are electronics and logical gates related?,A printed circuit board (PCB) mechanically supports and electrically connects electronic components or electrical components using conductive tracks; pads and other features etched from one or more sheet layers of copper laminated onto and/or between sheet layers of a non-conductive substrate. Components are generally soldered onto the PCB to both electrically connect and mechanically fasten them to it.,
Give 5 names of different Operating Systems (flavors),The most popular operating systems are Windows; Mac OS; Linux; Android; and iOS,
How old are they?,Windows 1.0 was released in 1985. Mac OS X was released in 2001. Linux was released in 1991. Android was released in 2008. iOS was released in 2007.,
What is a Linux distribution?,A Linux distribution (or distro for short) is an operating system made from a software collection. It is based on the Linux kernel and; usually; consists of GNU software and a desktop environment. The defining component of a Linux distribution is the package management system. Distributions provide sets of software built from the source code of free and open-source software (FOSS) projects. They are typically developed by a group of volunteers; and are often free of charge.,
"Give a definition for ""Operating System"" (in a classic sense and as defined in this course)",An operating system (OS) is system software that manages computer hardware and software resources and provides common services for computer programs. All computer programs; excluding firmware; require an operating system to function.,
